"109年02月26日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","20,806,000","6,455","880,445,350","42.15","42.60","42.10","42.20","-","0.50","42.20","810","42.25","74","10.39",
"1101B","台泥乙特","2,000","2","107,900","53.90","54.00","53.90","54.00"," ","0.00","53.80","38","53.90","1","",
"1102","亞泥","13,676,000","6,033","605,305,150","44.10","44.80","43.75","44.30","-","0.55","44.30","609","44.35","35","9.76",
"1103","嘉泥","1,234,000","625","24,807,700","20.00","20.20","20.00","20.10","-","0.10","20.05","21","20.10","100","9.95",
"1104","環泥","203,000","102","3,638,650","17.85","18.00","17.85","17.90"," ","0.00","17.90","137","18.00","68","11.70",
"1108","幸福","59,000","22","456,290","7.71","7.75","7.70","7.73","+","0.03","7.73","4","7.75","4","",
"1109","信大","277,000","152","4,729,450","17.00","17.25","16.90","17.20","+","0.20","17.20","2","17.25","8","6.01",
"1110","東泥","55,000","17","912,750","16.55","16.75","16.40","16.75","+","0.30","16.75","1","16.95","1","837.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊僅含一般交易，不含零股、盤後定價、鉅額、拍賣、標購。",

